# T(K)  Delta_U_el(J/mol)  Cv_el(J/mol/K)
1.000000000000000000e+02 2.281855479958144972e+00 4.376265344671720348e-02
1.250000000000000000e+02 3.492337249495367502e+00 5.306068608387674163e-02
1.500000000000000000e+02 4.934129682532784500e+00 6.226750652673256059e-02
1.750000000000000000e+02 6.606339606434898926e+00 7.154957064193649685e-02
2.000000000000000000e+02 8.514080001959522193e+00 8.112824923672998234e-02
2.250000000000000000e+02 1.066576547669376929e+01 9.106853684220808653e-02
2.500000000000000000e+02 1.307031340175635314e+01 1.013456113700570704e-01
2.750000000000000000e+02 1.573513752707338931e+01 1.118736637231177861e-01
3.000000000000000000e+02 1.866526026945940586e+01 1.225533578618382413e-01
3.250000000000000000e+02 2.186337851995876136e+01 1.333018239757743084e-01
3.500000000000000000e+02 2.533049196602202002e+01 1.440671498225782332e-01
3.750000000000000000e+02 2.906670781720226415e+01 1.548290924031327509e-01
4.000000000000000000e+02 3.307195469249071351e+01 1.655920077411337787e-01
4.250000000000000000e+02 3.734647456048709557e+01 1.763748858265115627e-01
4.500000000000000000e+02 4.189106635528192868e+01 1.872018484877646660e-01
4.750000000000000000e+02 4.670711680848221192e+01 1.980947899818447377e-01
5.000000000000000000e+02 5.179648030277771653e+01 2.090686652843520288e-01
5.250000000000000000e+02 5.716127249417141343e+01 2.201292311634502341e-01
5.500000000000000000e+02 6.280363294024192555e+01 2.312727265575509339e-01
5.750000000000000000e+02 6.872549777550847239e+01 2.424868963667934363e-01
6.000000000000000000e+02 7.492840896187986743e+01 2.537528105718274696e-01
6.250000000000000000e+02 8.141337421127377638e+01 2.650470336377332981e-01
6.500000000000000000e+02 8.818078208818666042e+01 2.763438300340553266e-01
6.750000000000000000e+02 9.523037018121256381e+01 2.876171626187001840e-01
7.000000000000000000e+02 1.025612395210263088e+02 2.988424114319016556e-01
7.250000000000000000e+02 1.101719078401597187e+02 3.099977107273497179e-01
7.500000000000000000e+02 1.180603908504270549e+02 3.210649051867895398e-01
7.750000000000000000e+02 1.262243038489996252e+02 3.320301895862798336e-01
8.000000000000000000e+02 1.346609749015770205e+02 3.428844226060874800e-01
8.250000000000000000e+02 1.433675628596668901e+02 3.536232012694449645e-01
8.500000000000000000e+02 1.523411745710467358e+02 3.642467326524985172e-01
8.750000000000000000e+02 1.615789769303132744e+02 3.747595565981248766e-01
9.000000000000000000e+02 1.710783005788251785e+02 3.851701618884141309e-01
9.250000000000000000e+02 1.808367330769110879e+02 3.954905334399603789e-01
